,反油酸乙酯,乙酸辛酯,2-甲基-2-苯乙酯丙酸,己酸-2-苯乙酯,异丁醛,己酸,亚油酸乙酯,"2,6-二叔丁基-4-甲基苯酚",植物酮,2-十五烷酮,9-十六碳烯酸乙酯,3-甲基丁酸辛酯,(3Z)-3-癸烯-1-醇乙酸酯,己酸异戊酯,十一醇,庚酸,乙酸正丙酯,乙醛,L(-)-乳酸乙酯,丁酸,丁二酸二乙酯,1-亚甲基-1H-茚,苯丙酸乙酯,辛酸,乙酸2-苯乙酯,3-己烯酸乙酯,对甲酚,己酸糠酯,十五酸乙酯,"2,4-二叔丁基苯酚",糠醛,十六酸乙酯,醋酸,辛酸辛酯,苯乙醛，二乙基乙醛,己醛,S-甲基丁酸酯,辛酸己酯,辛酸丁酯,十四酸乙酯,Group
s4t12,7.646438842,7.538538944,0,7.656777885,6.659573164,8.880848125,7.622710478,6.941198191,6.569581399,6.801434634,7.102216253,7.345562343,6.689855923,9.332561946,0,7.503221208,6.539839522,0,7.335424697,7.57133107,6.487670765,0,7.683312914,0,6.553746404,6.671115962,7.067841193,7.27994241,6.895572633,6.89282939,6.953200089,8.560540112,0,7.444010931,7.334567943,6.727717362,7.336406826,8.981451489,7.893141533,7.858014658,12
s5t12,7.207744302,7.232140506,0,7.17929381,6.292499219,8.094391296,7.252776777,7.112886717,6.274551709,6.647318333,6.969448252,6.906857776,6.748429954,8.718149442,0,7.212876226,6.177914581,0,7.443142482,7.341786478,6.532217666,0,7.530804286,0,6.522839881,6.679693131,6.630720345,7.142711418,6.906996995,6.813428176,7.241945465,8.244460227,0,6.996218523,7.450941726,6.132819989,6.104216041,8.378656879,7.88649187,7.872803465,12
s6t12,7.418426089,7.452890902,0,7.288168807,6.439352186,8.155723382,7.459939521,7.080728409,6.579548587,6.783806457,7.350761773,7.010051999,6.941016259,8.984115376,0,7.126885543,6.082519399,0,7.545974157,7.34610111,0,0,7.671270478,0,6.618965395,6.64604575,6.697289594,7.245279761,6.973069422,6.936924138,7.47261573,8.529942474,0,6.939862758,7.570851703,6.395050749,6.255656965,8.425430519,8.072358405,8.027801895,12
s7t12,7.265705707,7.143575818,0,6.985159645,6.593050406,8.626701031,7.328605701,6.86415478,6.468235571,6.594148479,7.210880051,6.627625933,6.931959597,8.526406579,0,7.039806091,6.128795351,0,7.574024695,7.186262825,6.597699877,0,7.640307186,0,6.568747069,6.786101502,6.569811321,6.919375105,7.031318472,6.762208516,7.661696076,8.407154245,0,0,7.409792896,6.44406864,0,8.104971025,7.555032505,7.921541959,12
s1t15,6.981094308,7.62036511,0,7.339164459,6.540465208,8.390730218,7.144410482,7.021554792,6.252937565,6.802435442,7.071165229,7.195773513,0,0,6.894174371,0,6.217072399,0,7.587204843,7.306963088,6.656729858,0,7.691487552,0,7.792139554,0,7.938894185,7.310861525,6.771823579,6.891962027,8.541622852,8.091647191,0,0,7.408914763,6.56152761,0,8.585689845,8.316759489,7.888738475,15
s2t15,6.931750287,7.646721777,0,7.289203284,6.416263994,8.340651959,7.074631725,6.92020871,6.307707293,6.742519964,7.129339917,7.077686083,0,0,7.63683498,0,5.999888763,0,7.487071733,7.294647949,7.819858123,0,7.624106852,0,7.77694879,0,6.741111361,7.019014923,6.821125542,7.019122161,8.562996424,8.118584535,0,6.947838133,7.420089825,6.677114096,0,8.572143459,8.235561995,7.902385134,15
s3t15,7.152748357,8.68357792,0,7.34723361,6.59847796,8.366819899,7.412577963,7.390519065,6.664324067,7.046507845,7.338001033,6.953348256,0,0,7.702318435,0,0,0,7.777009197,7.455162243,6.820982439,0,7.996115631,0,6.892596794,0,6.931708599,7.348584917,6.990599253,6.990271366,9.221045974,8.36429361,0,8.092623044,7.680776409,6.634865506,0,8.412899835,7.950647879,8.159747835,15
s4t15,7.185321088,7.665469143,0,7.752463203,6.620955782,8.74440769,7.239009978,7.407500192,6.446811287,6.9406712,7.05565998,7.348967049,0,0,0,0,6.364382325,0,7.428853106,7.624055052,7.841783244,0,7.748783838,0,7.728374818,0,7.18480202,7.482662931,6.926586998,7.052396438,7.987745468,8.241675503,0,7.245811295,7.353453584,6.860912249,0,8.849882116,8.079776289,7.694477771,15
s5t15,7.612697875,7.603412425,0,7.353567198,6.399604291,8.448711697,7.764149569,7.815056973,6.757562123,6.927789856,7.599385021,7.096133781,0,0,7.819341081,0,0,0,7.495803776,7.45035212,7.74713792,0,7.637165378,0,7.776986838,0,7.922252119,7.227187653,7.224675571,7.223271174,8.333752748,8.750689453,0,6.935702307,7.529051038,6.274639836,0,8.520935382,8.100435797,8.147210525,15
s6t15,7.234034458,8.698385971,0,7.303747727,6.387320474,8.448711697,7.431061161,7.360567329,6.769862518,7.058125637,7.191423644,7.155016375,0,0,6.278947975,0,0,0,7.55396601,7.528644384,7.641522848,0,7.630210719,0,6.965886547,0,7.847172506,7.106698907,6.554168892,7.842516821,8.30870157,8.3780009,0,7.751558047,7.474075264,6.530998703,0,8.254292565,7.833541781,7.935527765,15
